
----- TOKENS Y -----
Línea 44  Columna 15  | PUNTO                | .
Línea 44  Columna 16  | ID                   | nombre
Línea 45  Columna 1   | NL                   | 

Línea 45  Columna 1   | DESINDENTACION       | <DESINDENTACION>
Línea 46  Columna 1   | DEFINIR              | definir
Línea 46  Columna 9   | ID                   | obtenerArreglo
Línea 46  Columna 23  | PAREN_A              | (
Línea 46  Columna 24  | PAREN_C              | )
Línea 46  Columna 26  | MENOS                | -
Línea 46  Columna 27  | MAYOR_QUE            | >
Línea 46  Columna 29  | CA                   | [
Línea 46  Columna 30  | CC                   | ]
Línea 46  Columna 32  | ENTERO               | entero
Línea 46  Columna 38  | DP                   | :
Línea 46  Columna 39  | NL                   | 
    
Línea 46  Columna 39  | INDENTACION          | <INDENTACION>
Línea 47  Columna 5   | ENTERO               | entero
Línea 47  Columna 12  | ID                   | salida
Línea 47  Columna 18  | CA                   | [
Línea 47  Columna 19  | NUMERO_ENTERO        | 3
Línea 47  Columna 20  | CC                   | ]
Línea 47  Columna 22  | ASIG                 | =
Línea 47  Columna 24  | LLA                  | {
Línea 47  Columna 25  | NUMERO_ENTERO        | 1
Línea 47  Columna 26  | COMA                 | ,
Línea 47  Columna 28  | NUMERO_ENTERO        | 1
Línea 47  Columna 29  | COMA                 | ,
Línea 47  Columna 31  | NUMERO_ENTERO        | 1
Línea 47  Columna 32  | LLC                  | }
Línea 47  Columna 33  | NL                   | 
    
Línea 48  Columna 5   | RETORNAR             | retornar
Línea 48  Columna 14  | ID                   | salida
Línea 49  Columna 1   | NL                   | 

Línea 49  Columna 1   | DESINDENTACION       | <DESINDENTACION>
Línea 50  Columna 1   | DEFINIR              | definir
Línea 50  Columna 9   | ID                   | obtenerPersona
Línea 50  Columna 23  | PAREN_A              | (
Línea 50  Columna 24  | PAREN_C              | )
Línea 50  Columna 26  | MENOS                | -
Línea 50  Columna 27  | MAYOR_QUE            | >
Línea 50  Columna 29  | LLA                  | {
Línea 50  Columna 30  | LLC                  | }
Línea 50  Columna 32  | ID                   | Persona
Línea 50  Columna 39  | DP                   | :
Línea 50  Columna 40  | NL                   | 
    
Línea 50  Columna 40  | INDENTACION          | <INDENTACION>
